Name,Times accessed,Date accessed,Date modified,Date created,Size(in bytes),URL
10_Coordination Compound_230219_193612.pdf,58,06-03-2024 19.08,19-02-2023 21.13,19-02-2023 21.13,989,F:\Rushil\ADVANCE ASHRAM\10_Coordination Compound_230219_193612.pdf
10_Modern Physics_2_230223_212536.pdf,19,06-03-2024 19.08,24-02-2023 21.44,24-02-2023 21.44,876,F:\Rushil\ADVANCE ASHRAM\10_Modern Physics_2_230223_212536.pdf
10_SOT_ TE_AUC_ DE_230223_212618.pdf,91,06-03-2024 19.08,24-02-2023 21.45,24-02-2023 21.45,980,"F:\Rushil\ADVANCE ASHRAM\10_SOT, TE, AUC, DE_230223_212618.pdf"
11_Geometrical Optics_1_230227_160444.pdf,33,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.07,345,F:\Rushil\ADVANCE ASHRAM\11_Geometrical Optics_1_230227_160444.pdf
11_Metallurgy_230223_212607.pdf,45,06-03-2024 19.08,24-02-2023 21.45,24-02-2023 21.44,76,F:\Rushil\ADVANCE ASHRAM\11_Metallurgy_230223_212607.pdf
11_Vector & 3-D_1_230227_160407.pdf,60,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.06,874,F:\Rushil\ADVANCE ASHRAM\11_Vector & 3-D_1_230227_160407.pdf
12_Biomolecules_230223_212556.pdf,92,06-03-2024 19.08,24-02-2023 21.44,24-02-2023 21.44,0,F:\Rushil\ADVANCE ASHRAM\12_Biomolecules_230223_212556.pdf
12_Geometrical Optics_2_230227_160502.pdf,20,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.07,321,F:\Rushil\ADVANCE ASHRAM\12_Geometrical Optics_2_230227_160502.pdf
12_Vector & 3-D_2_230227_160420.pdf,66,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.07,453,F:\Rushil\ADVANCE ASHRAM\12_Vector & 3-D_2_230227_160420.pdf
13_BT & P&C +Probability_1_230302_135902.pdf,79,06-03-2024 19.08,02-03-2023 17.02,02-03-2023 17.02,654,F:\Rushil\ADVANCE ASHRAM\13_BT & P&C +Probability_1_230302_135902.pdf
